wallet,risk_level,risk_score,bot_score,bot_classification,bot_confidence,is_wash_trading,wash_trading_flags,wash_flag_count,combined_threat
EZAccGT4uPRyV48wroGm9QwcsoMKYi6pX7reeAKCSB5r,HIGH,63.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
9kqkmi9FX88bw4oTTcstF3MJqBc8W8PtDm2jZVDjxV3Z,HIGH,63.5,0.37,HUMAN,LOW,True,"rapid_roundtrips,high_frequency_pairs,circular_patterns",3,HIGH
4hwwqG3yPawkEzFyGMvHqM8rnjDPEhZRG8gggmAviKUb,HIGH,63.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,circular_patterns",4,HIGH
5NbW9XGAwjSTpwheVaSQMmzk79PPw3df7Bv7mDuhkZnC,HIGH,63.5,0.37,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
3SprBwxBZeBcsd2n8e4GHa1rQioN1X7JfBMMZSmkcHmd,HIGH,63.5,0.37,HUMAN,LOW,True,"rapid_roundtrips,high_frequency_pairs,circular_patterns",3,HIGH
8gC1xjUi4bSnC6WDtpTNPUFFyGGBMD2rTppPZboWsE8B,HIGH,63.5,0.37,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
54FMjRnceYZeqvaANqp5zSsJbWaTTGvJfQHukxJPiwWM,HIGH,63.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
7FgJeZqkg2Kh5HY34rx3nKDDoSCKDavLBjYsu3o2r2bB,HIGH,63.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
6cUdZ7u6AeeRQ6kJ9pE81MXr8PC12UrjxbAnfWyjumdV,HIGH,63.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,circular_patterns",4,HIGH
Ct9J4JzEsNufoZE83KX9w2VYauSpdYGwe5E8TvBdLThG,HIGH,63.5,0.37,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
FqJtBJoRhM6MecKjMnCpYrptWbuLDAeMEMRyZdDZZPsm,HIGH,63.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
