wallet,risk_level,risk_score,bot_score,bot_classification,bot_confidence,is_wash_trading,wash_trading_flags,wash_flag_count,combined_threat
FJh2SEzFwz3EUq9161GYFD5C79qnpCobyKz4wVQBkQAE,HIGH,63.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV,HIGH,63.5,0.37,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
8QwcX2sa3oEdV9xVjDjQ3N5JpZNSzYtJuu77fKhGTaU4,HIGH,63.5,0.37,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
C2L6DdAtVQNcDw3KKGoyWTV3AfuYdUfPKZn21EEhKMkm,HIGH,63.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
Bpn9UfdFsME4bBnfUFRqriT6ALwoy487Ac4VQ8L1CPP6,HIGH,63.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
2VoBhsq5v5xQFyYgZ922n8ihhX2tJhcmTUCW22qA2KBc,HIGH,63.5,0.37,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
tp7ZRGGBBK6uREbPqQTEqUi3qMqddcZGgb7B9eaRaDv,HIGH,63.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,circular_patterns",4,HIGH
mLFRTAhmNPj79GGMT4vr21sMKLa2MA3bnwaxzmFMUrH,HIGH,63.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
5NpnbQ3cRVgfGZqWX2j5hi9LphRn5gPN8b7kQEkgJHh4,HIGH,63.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
CqQMFUCEMbK9Cp9yMonmthKqzc59Ta48JpZMZsh1bDqf,HIGH,60.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,circular_patterns",4,HIGH
3jYHKknDedZUWUdmNowv9z7yMXtdv8FSoCz26qRjSrJ9,HIGH,60.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
7zWE6eobmRteyKdVQzwEuF3cabwdshf5uioFhD7emWY9,HIGH,60.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
D4EwnPB4tYV93Jo1uMQXiaPtjGa3ii97pYfaWY2XktAA,HIGH,60.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
92rbMBEcSyvudgKGbDPqyZUndMXQFmWkMrKi9GJkWqos,HIGH,60.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,circular_patterns",4,HIGH
BT8AJyavhSVQ9DdfirLzprcjLPvDtXPH9wxWvJFQgcex,HIGH,60.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
2yJTepLjtEhT1BJRRY3hHViBAPGrXnSNjDGMQmJFrgtP,HIGH,60.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
CEgG2PENsvnRoN2uaknwLyYn8dTLrKm3Kn27nLtb5yvk,HIGH,59.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
6wVVqZp5SQhVTrMctEwJibkUkNqcxMiLmFXbK2vrpy2A,HIGH,59.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
5KbRHGxwRbDBDgdM7NXXU5cExZSmVEoLGUZ4Kjg2RvRM,HIGH,59.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
AgysGNE5aJPyXodayn9YxsJcPQfzEMBXvYLEDnzarZn9,HIGH,59.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
BckSupmAdrcQczyohr4jXjUBYfJ2ppPf2DTJQxibcCKS,HIGH,59.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
5DDZt6dvXFPhnNScULoFAeK1GVfkMn4H8fC6EYDFhELg,HIGH,58.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
BxbuS91tioycP35MbLnAdzqdQc6pvedcp9YN4ygfG2b7,HIGH,58.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
