transaction_hash,start_wallet,end_wallet,start_entity_type,end_entity_type,timestamp,block_number,usd_value,token_symbol,token_address,chain,hop_count,is_self_transfer
11ArPBGhXALRC9hMmg91G6Ue41Hr2vTDuonGLo9iaeh4QdjdVFA47JzGj4xCfsYkZxXspX6w2e6qkgMHKbNEzDm,8iRFbNedUaiA8ZQwzVVaG2HGjDDdZDEjasv54DTqzoqW,8iRFbNedUaiA8ZQwzVVaG2HGjDDdZDEjasv54DTqzoqW,,,2025-11-23 15:44:10+00:00,382011827,280.4352562936176,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,solana,2,True
123g12L1sr9NM5M2aGaDiPS691BbUbheE5iNra6uiafraRno37bJ8JzRMf3CmA2f89REVJX1n7f87Eg5gmhXssX6,2ZfGtjVydmuSLM5h7hVsAz23YVMmyJxv4vJm2j7xHPvE,2ZfGtjVydmuSLM5h7hVsAz23YVMmyJxv4vJm2j7xHPvE,,,2025-11-23 15:37:42+00:00,382010861,1.265562576114,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,solana,2,True
123wzhzhU1bcp3sz8Y14KNsjqX3oc96niyxkcVKipJ9J2ZnSJxXuwhsCeyVdPUpQFu9pDzZTsTLiZVFBokAbEXnK,EzdSfVKMqLWGhdE6QYt2xdGawpo42qTcW76Z4FTpwKNj,EzdSfVKMqLWGhdE6QYt2xdGawpo42qTcW76Z4FTpwKNj,,,2025-11-23 16:01:14+00:00,382014422,9.422545739373,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,solana,2,True
124wfLgxBCuPRQXrzcapNo4Qy2Uu8CP8qvDfPVo39M9rWM1bncoQ1NmbHDkURDhGkEZVaRvrRUm52DN5hWgSqYTT,3745j3sJsmscBa9zTo51cdU9vqCEKLikZxhZNBRR5NTS,3745j3sJsmscBa9zTo51cdU9vqCEKLikZxhZNBRR5NTS,,,2025-11-23 15:15:41+00:00,382007523,129.1646264284376,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,solana,2,True
128HrpjhY3sa56AhFbntdToW1Fr5AWsutUVo75CVbN7e1MxNQgEtrGTkPqvojFgWrAMzK3i4LQd8Jc44qcgqqcoK,54FMjRnceYZeqvaANqp5zSsJbWaTTGvJfQHukxJPiwWM,54FMjRnceYZeqvaANqp5zSsJbWaTTGvJfQHukxJPiwWM,,,2025-11-23 13:51:16+00:00,381994699,25.3535500731096,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,solana,2,True
1As5agJVqHU7RnDxaeugWUwah58rSrRuMvgmZp7bGvmTVCSkSs8MXfkhUKETdhoqWujr2hRdsrYNWH4djJh6KK9,GxeMZ78fCqciKddgRbsnNAF9iJvKMa9ykZ81TuTkM6b3,GxeMZ78fCqciKddgRbsnNAF9iJvKMa9ykZ81TuTkM6b3,dex-aggregator,dex-aggregator,2025-11-23 16:04:19+00:00,382014887,1000.7821727140877,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,solana,3,True
1J1ARuyhi6kWjnBd8otkKfHMp49W8Ntv7km72fZCdQmQVkrdxb8kkkwseGQjKefxBuHTjjkcxoPUr2uTSvEfyXx,9MdQa4in4UzwGGsyfqZSJoqbNVM4qF4zESQYkxS8tw3T,DyND8F4tv43mpNwPMubW4shCLRR5CEyuMUz8HSfMFvbo,,,2025-11-23 14:57:59+00:00,382004835,0.6169802426001,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,solana,1,False
1Q9vhehTm2UtcmcEoQbWodTcr1PR5jADAtKXMAXCJzKbRUgWZp2dMEiNWbJwyMdGCN7NASFnucDfbCh5t2BRdw4,8VAK5Zk2q9F4W9Kxj9K8buaHTvTduPY2KEUPxzD1oJsf,8VAK5Zk2q9F4W9Kxj9K8buaHTvTduPY2KEUPxzD1oJsf,dex-aggregator,dex-aggregator,2025-11-23 15:22:57+00:00,382008619,0.035149317909,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,solana,2,True
1WRwsei5ryazVcNhWzBuAkjyxSCBAgeQdBrzhY8Jm8xNbkkPSqWZa75JLjqvUS5reqW4WXX97emtsy6GPtEv8Y8,4hwwqG3yPawkEzFyGMvHqM8rnjDPEhZRG8gggmAviKUb,4hwwqG3yPawkEzFyGMvHqM8rnjDPEhZRG8gggmAviKUb,dex-aggregator,dex-aggregator,2025-11-23 14:38:45+00:00,382001921,19.927018417971997,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,solana,2,True
1c5mfcCnyJGKB3d85TAMp6jaBRiBbPzDk5tcrRPgWAdiaEnzX8RdWmabm13Pu8vhKUZymhquchqHQFBC4AJtvH5,CkVvH4RRtWxi9c1NeWNooWamxPeYATM38Db87Ez7Si3K,54FMjRnceYZeqvaANqp5zSsJbWaTTGvJfQHukxJPiwWM,,,2025-11-23 15:33:07+00:00,382010162,49.9847467679968,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,solana,2,False
1obBAbnkocshoFVa5K1maH5WYLqRij7UfWRuw6WdiJeXQxYeoLBp7UHk9MQujSCiJoCfVvEtQsT8Dt3pQn6kohV,FW4Xkj1eQv2bjA5qAhEiQGgG41UVDiwSckPVJA8EmzeW,FW4Xkj1eQv2bjA5qAhEiQGgG41UVDiwSckPVJA8EmzeW,,,2025-11-23 15:13:06+00:00,382007127,48.4312524039504,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,solana,2,True
1pei9tRj4xdrBu77sc8qWguVw856L8xxT2Rqfu3Qwby6aBCUR97bEitpJGG334aMM1ese2hD7tnzjB5qujVXNVE,7iS8rXATR5ndbZ4TKNCtTwhyuULv225nAoRzcUNPCJ84,EZHaz4y1sMF2ucBzU833rRKgsRPnNPdUVMhQi4gDthHX,,,2025-11-23 13:53:39+00:00,381995061,1.786e-08,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,solana,2,False
2121gxxkr7udtRJGBbqF1GjzUbhQCqE1fYWXXKLbJNUU73QWiTGjiG5rSnbmuAesc7AV4JEvtBKvfNG2NMwxVUAf,9nih6BHqZXnJsy5q47rVD8R7irD2rejkdj4mPZSrQZsn,9MdQa4in4UzwGGsyfqZSJoqbNVM4qF4zESQYkxS8tw3T,,,2025-11-23 14:18:37+00:00,381998848,0.6258,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,solana,1,False
212WGNEAKrZv1HwrY7YKNgzneR4iCVKkMYSLZib47utUcPc9ozDkkk1mCrSpSt4FG4aHrJeP1psiNdYTYh1zefbW,9MdQa4in4UzwGGsyfqZSJoqbNVM4qF4zESQYkxS8tw3T,Ew1uUi3PqCgPHpErfvkC1d7bXjGZWMJmMZsNxLrWrBLr,,,2025-11-23 15:27:05+00:00,382009250,0.0059125837592,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,solana,1,False
21JFTYLMuLyoDHJs3sc28SRFg9K8hg2B8A1UGf88uG8de5rxF9QKC5FRgxvykXX3mCBgdBYJVmb8AC9XevZeHX6P,Ejwczx9P2k69umLFemdqTqeVopunCaGC7p6i9xXLxRf5,Ejwczx9P2k69umLFemdqTqeVopunCaGC7p6i9xXLxRf5,,,2025-11-23 14:04:24+00:00,381996686,5.028297718633801,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,solana,2,True
21PA3iF6mQdgrztwFfstyGt38MobjkGmHLfCNxJUgsEaTVe9tnBUBdytWXSYUto9PZz5Qq4phXYo7oFUDvfmpgR8,GyVWzjFNwRMzYZTJZSPG7hBv9bY1HoHzftUKVuRfo4wn,GyVWzjFNwRMzYZTJZSPG7hBv9bY1HoHzftUKVuRfo4wn,,,2025-11-23 15:26:28+00:00,382009153,70.3097140153516,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,solana,2,True
