transaction_hash,start_wallet,end_wallet,start_entity_type,end_entity_type,timestamp,block_number,usd_value,token_symbol,token_address,chain,hop_count,is_self_transfer
129T6unuwUevoYci9fqDTFJFDoHc9EDGbjzN7psNdDkM5aL8DaudUQAyodpKfxjq4dZSBDKm9NECufamHvG1sipi,3fmhSN1gB71Ji4VkpcmMWzM68Tv2xKHLwfPwXoUgTVhH,C4BLiCBH2cvdwVhnWF63NfMgvcjd2soVRAuDQsG58wA4,,,2025-11-20 18:21:52+00:00,381380402,25128.708931893412,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,1,False
185sy1NCnxiESkZNxYqrZopEv985PFtZs8TJ5bV5kF7f2zKPonFHyiAWx6me8FMKAG3QCdYJmeXtsuG9WcyLjxH,DMgQ7Mb3eXATgAUHmxdFsJ8tF792e9H6bmZfgLaCNHwG,3ymKfVjJDZuf3zzo431F1YxfpEr8nY5qFVw7txVLMDYZ,,,2025-11-23 15:20:32+00:00,382008259,27.3602625419435,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,False
1DnMTgcLVa7uXp83xHXK2sL9atGjnm2Y8ANKBGhQjsFabZWesdSoExNmakqvcwoFBPgVGLkSvcUxtJEBf8VQzN3,7GLXEp8d5wWxoEGYtUr5KcbjCwRa9XMJ9XcSwqrocTXr,Hi8vEqvLCtc7E4RPmZZF4CSM5RqmnmfgTVtVmAeaw7Qk,,fund,2025-11-21 08:53:35+00:00,381512349,25.574666664109202,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,1,False
1JZv5o6zYQFPT36p4qua4HM3bCmw1gSvxpQYH5PfUhPfEN5g5e1okr296rUq7Cksgo4eFf1jKgs4Z9PrftaKVQY,486J8gP3iWPAAkPNvkPZjzxH94x85GmkMUvC8KbPG35M,pyP6BVfTne321yYweXAkjb1ocQk8KcKF8FJ29JLgz6W,,dex-aggregator,2025-11-22 06:19:47+00:00,381707350,11.586625377756,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,4,False
1SKkXeDMQPzDXyhs8BLGw7cY51dvtsZ1gcUdU6Xbch1etbA64i8JxPZAcXoDStRUXwEy7Tv16G2HrUnUpWTJqam,CPWqAfzJzDPZza16BB22dceKCBktxYGyAxi1kSHjSPLx,CPWqAfzJzDPZza16BB22dceKCBktxYGyAxi1kSHjSPLx,,,2025-11-22 03:08:21+00:00,381678281,0.18896572110719997,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
1faRnJpoMYGqqDQehRMDUPM8EUqgzvmm18m57qR1XoiT12qr1sGMEbkfGUUYWKTDBZnk6oL1vYxMMChhMAbRPwv,1ax9E7cA84nsmcZtw75tpgpVt5zVQb8DhQCBR8XcEQm,CEwPHw9uaAMNTxYgtPPAmmmUFtrX24jCNihiLb4ML2sn,,,2025-11-22 23:23:26+00:00,381862735,24.819333330851403,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,1,False
1mZm9scixFsnaBmGLEkSh8tsTFdFgpHtDdjjwX8pRQcQDEvSwexGWYn7BR7Z9rW517UjKimPPKhu5596PuQqkxT,FjLVihjoGaVffAi18JebUg3BZyobR5d3eGqksnuBRQmB,ExkwQdGpQUrjjGccDRp4TKzhZwzdz6UTsfi4hXYMSNmR,,,2025-11-20 18:09:14+00:00,381378499,7.933323073137,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,1,False
1pB7kN3iKvhRX4XYWitfEPHipqKp25Kq3gWXLqeEosA5ebvg6n5rwywHFmRNDVdJizFSkXWB1nN2BrZsqaCr7ha,2CNytbgMCAqkjGQTHL584yaXwURq1P3kdLrkDaF8HFEv,CZggxk7GpvagccmoQ4NSUFod1JQGfUqFdxVL4Lxd2hPJ,,wallet,2025-11-22 23:18:35+00:00,381862004,0.9990994134758,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,3,False
1uRTNjAfpUZ1b2Kujp3wC7u8aUJJ8YmavXH7HB4cQ5p5Z1AQn6P2UFiMD3tw9vQsQBt1GEZjo4BWwEfLRF9cAaG,CouNphHKDsLcQ93F8jXR3pgjHd42nL3SvqsmFWU999En,GyitQdnUBqGzv3NcDHeTnjbp9oehj8H8EfkwsMdS84Rq,,,2025-11-22 01:33:21+00:00,381663833,8.09303440689,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,1,False
1y6b1dqXMDVTYHYWsVBa8d9g6vJDEx2ogkqXkKRXWqtzSQJDxc1DAeWNZk2FVL7SpeNwrFBKKrT38gFwt9pSoqL,D9rZYtNytiZdxdpgXQCyP5Jzvhyk9UfCjTK1345Y3FFM,D9rZYtNytiZdxdpgXQCyP5Jzvhyk9UfCjTK1345Y3FFM,,,2025-11-23 02:08:26+00:00,381887816,5.627193458639999,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,3,True
