transaction_hash,start_wallet,end_wallet,start_entity_type,end_entity_type,timestamp,block_number,usd_value,token_symbol,token_address,chain,hop_count,is_self_transfer
122DJHnY51tbQWxTS3LqU358QtHmLkpara9TvDeeL156nFFL1zxj75VxBnu47GsvwtrSfjFvFbJ6xXC1SYCKsq6V,99uk1Wt3Ed7m8YhbyUwJhLpyWSSu6y6GrChBcqPB1ZwE,99uk1Wt3Ed7m8YhbyUwJhLpyWSSu6y6GrChBcqPB1ZwE,,,2025-11-23 14:10:10+00:00,381997560,23.367307799695165,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,solana,2,True
124pDPrLb3U8hyxN8GUaSArcg4eDqvfZVp9TUAVLZFxu4jXd31ueYzfWhCumwzZeR2Np2R5HeAQoo9U1quzhfinA,ETp6Bv6JaGG3vWm6Wgstm2W47NzPZKDGZEAdn5P1pFR2,ETp6Bv6JaGG3vWm6Wgstm2W47NzPZKDGZEAdn5P1pFR2,,,2025-11-23 15:36:13+00:00,382010633,36.16118790588163,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,solana,2,True
1252DJiYFNf13nHGiQa6FN2JQaDcqAzXqLAw2eC3Ei67mChLgL8p91V37bicnYA6Ek2s1MEJ3v6fiuADNohKgvwS,HFrjo7evmZxJ7aBrYzVoomprYyaAcRHMdwHd5tyrqiJ,HFrjo7evmZxJ7aBrYzVoomprYyaAcRHMdwHd5tyrqiJ,,,2025-11-23 15:59:20+00:00,382014135,5.214179307678673,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,solana,2,True
12784xZYFPvoYTPQ3KqwAMzH4wscdnC1iDbhkQpwDfePL1scZMg5vZHRYD619qfPdU4GYsXk1Fp6UCCrn1xxo5P4,2GJrG2suLx3rcPbR9KSn4ETV9MPNQccwvs7J3PkEKZQv,2GJrG2suLx3rcPbR9KSn4ETV9MPNQccwvs7J3PkEKZQv,,,2025-11-23 13:06:44+00:00,381987933,7.585951549149223,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,solana,2,True
1G6fXK33ByP6iR5rrp6wb1exnQWjzKvfKoMrvsJKA6JraoEqqKfJiGQkunRUR6AQiTeTxRqKkupj9ddzrWW3rEs,HwF9211yQZtPczhCapLqFHQREDPeEzDWrgAL2eURWcYk,HwF9211yQZtPczhCapLqFHQREDPeEzDWrgAL2eURWcYk,,,2025-11-23 14:30:02+00:00,382000588,50.28829602976085,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,solana,2,True
1GEPz1U8jKhFHVh7v9EELorov2FjJkP5pfvbQU6Mgmy3VUvcpv37hJbvpCco21vamBMDYun19ZwzqKZfsSaSg7R,CtoCXrjjkPG48r8KEtqnYzbP1WKvKxrtc3fCUmCMPCjt,CtoCXrjjkPG48r8KEtqnYzbP1WKvKxrtc3fCUmCMPCjt,,,2025-11-23 12:31:23+00:00,381982568,3.9345770444998642,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,solana,2,True
1PPLxzT3HyYXtwKRTJaMM8xE9uTvUfrZuwFjQmMfAH9H7Fi3RHmZ39oTsmbsv3C8xy2Cg8QjvApo8n5tmWrGrAG,AjwhgcMpFXbqAuq6bafQjQU4pZ1URwXncv8CG8p7TQ1V,AjwhgcMpFXbqAuq6bafQjQU4pZ1URwXncv8CG8p7TQ1V,dex-aggregator,dex-aggregator,2025-11-23 16:18:36+00:00,382017046,53.44364523108963,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,solana,2,True
1Q2Z3xCcuNeH4r8j3gZX2NBADPypDAG5gNHJxaTPWge1CvdK7wTBKgGtZX5fRa6XvnzQhTj86bPv3RSLaNZ5pby,36HsnRwQtmQfarfknpPyzZCXwJcwLb6otUSeyQLnQXfQ,36HsnRwQtmQfarfknpPyzZCXwJcwLb6otUSeyQLnQXfQ,,,2025-11-23 11:40:37+00:00,381974862,6.275049857842822,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,solana,2,True
1QfJJwzBD4FgeugBQDPXPDWyHmCmv9cSxxBGpprtSjV4pGFHNhhDmYkf2TpnW7VAWJVsAAH2SBu7XXQQBeii2u1,DNVdvF5vv7P8fB54e2NynSibti1wD7tk4EvL3L4mm39C,DNVdvF5vv7P8fB54e2NynSibti1wD7tk4EvL3L4mm39C,,,2025-11-23 10:11:06+00:00,381961219,0.229452855128816,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,solana,2,True
1Wr7LPz8ztQfZRsSDTpUwt9wpb6vMVnRCJDxmoTtbCdcrT7S1jMchp2zHpLsNhxK9mBxNYXQiztay1CgEtBCPgT,12JGcFAWj3Ruxnv97Sfcy4GDytjuizAPKyNx2EFfRafQ,12JGcFAWj3Ruxnv97Sfcy4GDytjuizAPKyNx2EFfRafQ,,,2025-11-23 10:05:33+00:00,381960377,12.192248518588379,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,solana,2,True
