transaction_hash,start_wallet,end_wallet,start_entity_type,end_entity_type,timestamp,block_number,usd_value,token_symbol,token_address,chain,hop_count,is_self_transfer
123tt8TnW8UycckxSGZcR8wLGZtiCXKSKZXGkUn4HMt6mrrt73VKx8kmuzfs32Pw7QnyZ8TNQHLFd258KEKvpj5Q,6FigWdFXAXJL4i7MAazcYRjkVoneXVxwUr34rW5LyBWB,Fdo47EPoxbFY8xCRVU7VTKWCdhTsXGt91qtKSVX7y1SR,,fund,2025-11-23 12:40:26+00:00,381983940,70.37642941567101,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,1,False
126dtPUo5nB4Wept2tfMRLimMd8jH9exBEtyfZWMkqVFrH3drKVorBX9VDnNbv5zbhRKMRjUgx6JzCvubk91sQrX,5AFi6p35Jhp7f6EVyB6fXJDjRhYU4FMYTJUMFpCPZvDc,5AFi6p35Jhp7f6EVyB6fXJDjRhYU4FMYTJUMFpCPZvDc,,,2025-11-23 11:17:17+00:00,381971314,1.720176082128,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
12784xZYFPvoYTPQ3KqwAMzH4wscdnC1iDbhkQpwDfePL1scZMg5vZHRYD619qfPdU4GYsXk1Fp6UCCrn1xxo5P4,E8KMv2CenuTZB8EQBpLhbr5omfKTZoEQNbQdcpruitCB,E8KMv2CenuTZB8EQBpLhbr5omfKTZoEQNbQdcpruitCB,,,2025-11-23 13:06:44+00:00,381987933,7.59466629472,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
1JDEEC3ei1XoDAUQtvUnAKaXCaBLj4aPtXutNAi8Ce93aA5A1kjud83HPPkXNgS8cmfxvbjUSvRqLSNcQXRqMUP,3wqxMfwBGVoTqFetT7AFa4CrAxsut7yUi4fdyoqD2Qz1,3wqxMfwBGVoTqFetT7AFa4CrAxsut7yUi4fdyoqD2Qz1,,,2025-11-23 12:17:50+00:00,381980517,3.2080638689,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
1S6c5LkLa1fSLGot19euyuqDnpX8HVFvJdMqSC5eELuuhsGFZPUcTxUtGtNF3g7pVyA93vuDcyfNQf1LGbFqVw2,CJezJtuR5axRmncdYjCiBpPxA3RTbwDew4qTLn472pc9,CJezJtuR5axRmncdYjCiBpPxA3RTbwDew4qTLn472pc9,,,2025-11-23 09:53:30+00:00,381958567,53.4392456185,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
1UbDziKUU2vDTzFK4Zk2CkVpJueQYZQo7UKf3RdRcBmkjpBrxQG7Zss94woeKnQSw7VDmAcBRFhKPM2NTMf2YH9,mLFRTAhmNPj79GGMT4vr21sMKLa2MA3bnwaxzmFMUrH,mLFRTAhmNPj79GGMT4vr21sMKLa2MA3bnwaxzmFMUrH,,,2025-11-23 06:40:30+00:00,381929181,6.977343956526,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
1ZyDo5YWg3eZ5sec7WkasUVvKGwEScSxBW1zyyedv4XyYjy2e28GaqC6TqJHCmJfn9muXFZDzkrgAv1yR9Pg4r8,8UvmZZxZ8BvVvxL3JUozyzZLSJXrAdENaTBPDofXHbYR,8UvmZZxZ8BvVvxL3JUozyzZLSJXrAdENaTBPDofXHbYR,,,2025-11-23 13:05:06+00:00,381987686,38.60184719718399,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
1hbbyJruaP5YG5yepeyKAmp5SgLmdTVmRZShpuYAMNbibbtRhKSmvs4P6R9VftUdac8H8DxyrVNdx4UyeSjqpwo,D4EwnPB4tYV93Jo1uMQXiaPtjGa3ii97pYfaWY2XktAA,D4EwnPB4tYV93Jo1uMQXiaPtjGa3ii97pYfaWY2XktAA,dex-aggregator,dex-aggregator,2025-11-23 09:28:23+00:00,381954721,1.820380377494,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
1qxmCghtHJEod9vTUPV9wzd47S9vG7eg723w48S4o3dynX84q92BTbG2n1zPpbr5EkaxQZmUHxiBNvAeBk31bKt,92rbMBEcSyvudgKGbDPqyZUndMXQFmWkMrKi9GJkWqos,92rbMBEcSyvudgKGbDPqyZUndMXQFmWkMrKi9GJkWqos,dex-aggregator,dex-aggregator,2025-11-23 09:25:21+00:00,381954256,3.2787808732099997,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
1rfbcY8TihBC8PvqKsEMqFZxpGGDPriw7h5LZdZYXE6HCBFbsX6vFfq4vDLGz8KVDioKPum6538yeV7pgiAePyG,5DDZt6dvXFPhnNScULoFAeK1GVfkMn4H8fC6EYDFhELg,5DDZt6dvXFPhnNScULoFAeK1GVfkMn4H8fC6EYDFhELg,,,2025-11-23 10:55:54+00:00,381968056,20.51705095002,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
1x3VqCZ48kFXygnJgXJnpfCNwNMJRQwg97KbKk2ALifbSnX8zhhePANEWvAqyFVYGjeTnpdz2TDDwP85vHA8Cew,DdYuxrfH7ryy75aVnbweYqZNfWH5cFxWMHYnddfqUgXH,DdYuxrfH7ryy75aVnbweYqZNfWH5cFxWMHYnddfqUgXH,,,2025-11-23 10:08:47+00:00,381960872,12.26040434626,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
1xXg2pLAo3oMPpX3GQEEEE86huxs7mSEph7aieSUDgjjK2W7vZXXH2YGNYvSED8Jfk9xPCEJsV8Jb4E7umXJu3z,HaUnTJ19AUwLkrwG1eWqznqs7AtYHqz8AG4q7nTw6UQq,HaUnTJ19AUwLkrwG1eWqznqs7AtYHqz8AG4q7nTw6UQq,,,2025-11-23 15:28:43+00:00,382009497,8.455647066056,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,4,True
1xmf8QhBRjm3xgpcZgj3hhwEicp4Skwq171Gx5e8Qm6r8w13X8BQsmM6yvbLMwq7joAecfc3a5eUqwg7ieMYhqB,E8KMv2CenuTZB8EQBpLhbr5omfKTZoEQNbQdcpruitCB,E8KMv2CenuTZB8EQBpLhbr5omfKTZoEQNbQdcpruitCB,,,2025-11-23 09:11:36+00:00,381952171,11.934705651244002,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
21DET7kkQf9pD7C18pKCp8N3SLQEaRx3KhM4yQkt6rx4NwXy5Qy3zDBUTLvgdAEQVbaD9awUSauLj8wtXiFF3Znk,69ixw2w6zwWYCqJBeWjckr3CxuacC36KLbGArfEFGpcf,69ixw2w6zwWYCqJBeWjckr3CxuacC36KLbGArfEFGpcf,,,2025-11-23 08:38:59+00:00,381947197,48.34954989976,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
21JT9iAKCPiwfe81HELoVmS9zqFcB85nLes9Y4KEDxJ9JvZvpBrk94SazKj2f6MNN8TfLqJEP46qys3L7R8U8hhs,8gUo3CWLssxqfP5bBB4avaX3vwPnMHC7dLbEf3DhPyQ9,8gUo3CWLssxqfP5bBB4avaX3vwPnMHC7dLbEf3DhPyQ9,,,2025-11-23 06:19:01+00:00,381925923,6.106245750472,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
21K3n55FwNG9UmNrdxZRepXokg7LZWB8a6ebc5rhUmuv7Av7ZPkxoHmy7KYXcJFNtZTuNjC6sYcMmNjXfD24a7Pu,Bpn9UfdFsME4bBnfUFRqriT6ALwoy487Ac4VQ8L1CPP6,Bpn9UfdFsME4bBnfUFRqriT6ALwoy487Ac4VQ8L1CPP6,,,2025-11-23 06:19:01+00:00,381925922,188.51518310587198,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
21SHQKaWzjMDy6yEKc2YPbsUVbkZhRefwKox5UbEe3dV1o8QMosXpb9qYoXwHVMSCCeWwnw67CAmUWir7wmHDB4Q,F9wS3MAW8p3aamB5dfoqPNFRXzbDfhCNCyYtLxwbrtTX,9KQ6dv9ArnH5Kigg3V8YMqLUToRUiwu3uerCH5ECnnxf,,wallet,2025-11-23 11:24:43+00:00,381972453,16.973154540994003,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,3,False
21VKKyFPNRSVadgPnnPBQ9YUuLT9BswgC3J2Z6zyr2uo4rubpZqVX7cERcF8A1UWDnPhv3Uy8nJyzAU1itpijYqD,55kiJu3wF2xHQXnUvsGYY8pot6QE9YJayQjdSHh17PYX,55kiJu3wF2xHQXnUvsGYY8pot6QE9YJayQjdSHh17PYX,,,2025-11-23 12:56:29+00:00,381986380,6.247308054708,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
21ftVStCQxvruwXHYpq3s17fHi2xc2nnNXCzCe5Fk47JYFLMYtJ2RP6erLHDMPTx2XrCCDJA8ekt3BvERyb2EPep,9MXeAAM6sAN8mCnKQfEkMjZTwj4HZQKGhu8vmSVqaWqm,9MXeAAM6sAN8mCnKQfEkMjZTwj4HZQKGhu8vmSVqaWqm,,,2025-11-23 10:08:08+00:00,381960770,7.235554038056,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
21gk4nvRZfkMcxhQBF5tGvcy9EECscHrnZ5Zunyc3dKawyHm4N5beB1MiDUQQH1T8UH5CnfwUmF6k32r4rDoMbmF,C2L6DdAtVQNcDw3KKGoyWTV3AfuYdUfPKZn21EEhKMkm,C2L6DdAtVQNcDw3KKGoyWTV3AfuYdUfPKZn21EEhKMkm,,,2025-11-23 09:11:37+00:00,381952172,301.170291828134,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
21iVJAUWGenmGnejPvNxzbXgZZ1JQkhUR2vNgBzsn1SKpPX2ZicD5MLWtXVNAoxPt7nNJ8GJb94DyRrV5jwHqvXE,2VoBhsq5v5xQFyYgZ922n8ihhX2tJhcmTUCW22qA2KBc,2VoBhsq5v5xQFyYgZ922n8ihhX2tJhcmTUCW22qA2KBc,,,2025-11-23 14:09:14+00:00,381997421,0.1183540694,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
21ixTxCSyBvELRSpXud76mYPakUAgSLaw9LXnUtrWYecvNPqcgT3nkdw5GkircYEoJbTxmmwdo9A4vkEH3YfYnMH,94vBYGQ9SnAbS85Lbtb7m6M6nNZ6XCwjvz8iSHoycCh4,94vBYGQ9SnAbS85Lbtb7m6M6nNZ6XCwjvz8iSHoycCh4,,,2025-11-23 09:52:23+00:00,381958398,8.86466749016,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
21kcbw3m2wUi5VNSsUKrqJdaZQoEA2jXGuckqScA66orwnA2bDn3RyBaUeE3PPxukGSXbk7u5Ct5aqKCvDYX9PqF,DdYuxrfH7ryy75aVnbweYqZNfWH5cFxWMHYnddfqUgXH,DdYuxrfH7ryy75aVnbweYqZNfWH5cFxWMHYnddfqUgXH,,,2025-11-23 09:35:56+00:00,381955882,5.445766090336001,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
21t8WC2yBtnJGzMCnAJgYyinRznRPqNzbXYC2aUFzRr5JyKNsw6xUrZEnVdLM6HfHX51Jpj4RKnkJ7DJnkQLuBy6,2Ap3yC1D5vw7sgrhmUZ1W1Jd99PZNVA8Dbqmw4u593Mq,2Ap3yC1D5vw7sgrhmUZ1W1Jd99PZNVA8Dbqmw4u593Mq,,,2025-11-23 10:21:21+00:00,381962787,21.637567684637997,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
21tfD4M7ByaaaVJxwedVkofHsiqaacJLKH3BfgfN9Ti5sPsFpkCq9bK29VRSg6u5sKzA6MsYRpzwQfRRvBGjGCco,2VoBhsq5v5xQFyYgZ922n8ihhX2tJhcmTUCW22qA2KBc,2VoBhsq5v5xQFyYgZ922n8ihhX2tJhcmTUCW22qA2KBc,,,2025-11-23 10:32:39+00:00,381964517,0.522077531028,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
21tm1ffYTG8ofMuPoD6yMVM56kxsBpZNRzKnCpx9E8dmVqB4pfhNMshbQ1Q7gkvQ2MN7XuRKg8398jaGnHos4ev1,mLFRTAhmNPj79GGMT4vr21sMKLa2MA3bnwaxzmFMUrH,mLFRTAhmNPj79GGMT4vr21sMKLa2MA3bnwaxzmFMUrH,,,2025-11-23 15:01:34+00:00,382005381,21.89854694153,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
21u7VSwyGtuVQpMCPgPfrmypqhuppgCAfy7zV8K1t77hWpj3YaAhNGDnWtpqm3WMmFoE63pDVDBbhH4Lok121vjz,HXWgX1mgsDuF9FUGrfF348xvodq2gydLxkdYEDn9KyUn,HXWgX1mgsDuF9FUGrfF348xvodq2gydLxkdYEDn9KyUn,,,2025-11-23 08:19:04+00:00,381944164,54.2824714628,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,solana,2,True
