wallet_a,wallet_b,roundtrip_count,total_transactions,roundtrip_ratio,total_volume_usd,fastest_roundtrip_hours
2VoBhsq5v5xQFyYgZ922n8ihhX2tJhcmTUCW22qA2KBc,2VoBhsq5v5xQFyYgZ922n8ihhX2tJhcmTUCW22qA2KBc,6172,112,55.107142857142854,1891.1624213841874,0.0002777777777777778
EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV,EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV,5251,103,50.980582524271846,4538.410440220244,0.0002777777777777778
mLFRTAhmNPj79GGMT4vr21sMKLa2MA3bnwaxzmFMUrH,mLFRTAhmNPj79GGMT4vr21sMKLa2MA3bnwaxzmFMUrH,3157,80,39.4625,78597.1863856915,0.0002777777777777778
BxbuS91tioycP35MbLnAdzqdQc6pvedcp9YN4ygfG2b7,BxbuS91tioycP35MbLnAdzqdQc6pvedcp9YN4ygfG2b7,2481,71,34.943661971830984,28238.438700320356,0.0005555555555555556
Bpn9UfdFsME4bBnfUFRqriT6ALwoy487Ac4VQ8L1CPP6,Bpn9UfdFsME4bBnfUFRqriT6ALwoy487Ac4VQ8L1CPP6,1703,59,28.864406779661017,794144.9023305589,0.0002777777777777778
E4xNvD1JsnRS3HeakzHsPBcwSD9kArpc1n7CiNQP3sxd,E4xNvD1JsnRS3HeakzHsPBcwSD9kArpc1n7CiNQP3sxd,1270,51,24.901960784313726,61867.35466438372,0.0008333333333333334
4pdrrxYSjVnivw8XgCDBB8Pz5bMgyVy1M8JKkM5Hzvkr,4pdrrxYSjVnivw8XgCDBB8Pz5bMgyVy1M8JKkM5Hzvkr,900,43,20.930232558139537,1848472.6170271118,0.0002777777777777778
77L7DvEEf46iQqGrTtPcUDncvQ2ht2B9wq9LKPZohKET,77L7DvEEf46iQqGrTtPcUDncvQ2ht2B9wq9LKPZohKET,774,40,19.35,3580.6674754198452,0.0002777777777777778
5AFi6p35Jhp7f6EVyB6fXJDjRhYU4FMYTJUMFpCPZvDc,5AFi6p35Jhp7f6EVyB6fXJDjRhYU4FMYTJUMFpCPZvDc,527,33,15.969696969696969,1662.7182690533664,0.0008333333333333334
EhiDCKZDwqJWp56CbGBwKi1MA6sh9szytjVbNL82PMzQ,EhiDCKZDwqJWp56CbGBwKi1MA6sh9szytjVbNL82PMzQ,435,30,14.5,7559.781188019964,0.0011111111111111111
GtEFMvEqt8FNQripzud27ZavHk9gtoG4tFFcSrzdZsYV,GtEFMvEqt8FNQripzud27ZavHk9gtoG4tFFcSrzdZsYV,311,26,11.961538461538462,57899.28600860684,0.021944444444444444
FJh2SEzFwz3EUq9161GYFD5C79qnpCobyKz4wVQBkQAE,FJh2SEzFwz3EUq9161GYFD5C79qnpCobyKz4wVQBkQAE,300,25,12.0,20376.24883937808,0.0030555555555555557
55kiJu3wF2xHQXnUvsGYY8pot6QE9YJayQjdSHh17PYX,55kiJu3wF2xHQXnUvsGYY8pot6QE9YJayQjdSHh17PYX,298,25,11.92,5815.453215801963,0.015277777777777777
8gUo3CWLssxqfP5bBB4avaX3vwPnMHC7dLbEf3DhPyQ9,8gUo3CWLssxqfP5bBB4avaX3vwPnMHC7dLbEf3DhPyQ9,250,23,10.869565217391305,4283.119014474068,0.0002777777777777778
E8KMv2CenuTZB8EQBpLhbr5omfKTZoEQNbQdcpruitCB,E8KMv2CenuTZB8EQBpLhbr5omfKTZoEQNbQdcpruitCB,231,22,10.5,12318.31002632046,0.0002777777777777778
C2L6DdAtVQNcDw3KKGoyWTV3AfuYdUfPKZn21EEhKMkm,C2L6DdAtVQNcDw3KKGoyWTV3AfuYdUfPKZn21EEhKMkm,206,21,9.80952380952381,87630.46171857366,0.020833333333333332
5DDZt6dvXFPhnNScULoFAeK1GVfkMn4H8fC6EYDFhELg,5DDZt6dvXFPhnNScULoFAeK1GVfkMn4H8fC6EYDFhELg,171,19,9.0,4528.0169545177605,0.0002777777777777778
AgysGNE5aJPyXodayn9YxsJcPQfzEMBXvYLEDnzarZn9,AgysGNE5aJPyXodayn9YxsJcPQfzEMBXvYLEDnzarZn9,170,19,8.947368421052632,290.68168638435,0.0002777777777777778
2Ap3yC1D5vw7sgrhmUZ1W1Jd99PZNVA8Dbqmw4u593Mq,2Ap3yC1D5vw7sgrhmUZ1W1Jd99PZNVA8Dbqmw4u593Mq,153,18,8.5,7940.5064166092125,0.014444444444444444
DdYuxrfH7ryy75aVnbweYqZNfWH5cFxWMHYnddfqUgXH,DdYuxrfH7ryy75aVnbweYqZNfWH5cFxWMHYnddfqUgXH,136,17,8.0,4666.209426786705,0.02
9U8c6h6eF8Dib98QRaJH4Qr9kHZbjBFQwvK8o2MckTkK,9U8c6h6eF8Dib98QRaJH4Qr9kHZbjBFQwvK8o2MckTkK,136,17,8.0,2568.7075597937783,0.015277777777777777
CkAbxXKWVxXTkW1JGRComqHjRijGwPGSMoseoqrtTZrK,CkAbxXKWVxXTkW1JGRComqHjRijGwPGSMoseoqrtTZrK,119,16,7.4375,1987.39812143314,0.015833333333333335
2n6p2upCRrpAyE6T6KrLb5rJEdwGYfYMsoHwhkXpLCYJ,2n6p2upCRrpAyE6T6KrLb5rJEdwGYfYMsoHwhkXpLCYJ,110,16,6.875,940.4423256598801,0.021111111111111112
5NpnbQ3cRVgfGZqWX2j5hi9LphRn5gPN8b7kQEkgJHh4,5NpnbQ3cRVgfGZqWX2j5hi9LphRn5gPN8b7kQEkgJHh4,91,14,6.5,22664.598368076902,0.0011111111111111111
12gQbAbUXWxqqt6uCMUTPJSJMnZnSTtu6VKQfVLohjdY,12gQbAbUXWxqqt6uCMUTPJSJMnZnSTtu6VKQfVLohjdY,78,13,6.0,5580.8879404528825,0.015
2UPrqbdAsynHNeKtsQ4YxjuwbbXmgM5doYFwJLQTeswZ,2UPrqbdAsynHNeKtsQ4YxjuwbbXmgM5doYFwJLQTeswZ,78,13,6.0,437.0064931822201,0.0019444444444444444
8PbAgMN73p1FMaDLqNyoSPeyh5uUTVFDdK5XanufXSZo,8PbAgMN73p1FMaDLqNyoSPeyh5uUTVFDdK5XanufXSZo,55,11,5.0,2247.263509743756,0.08333333333333333
92rbMBEcSyvudgKGbDPqyZUndMXQFmWkMrKi9GJkWqos,92rbMBEcSyvudgKGbDPqyZUndMXQFmWkMrKi9GJkWqos,55,11,5.0,909.17554981844,0.001388888888888889
7uHgqMr7bJMe516zBkd23TnFNoHHdPgesgwLtQNBxCnS,7uHgqMr7bJMe516zBkd23TnFNoHHdPgesgwLtQNBxCnS,55,11,5.0,1785.124912809444,0.018055555555555554
7e3LzHY9PLXTpUzvtk6PT4nKKZcBJB8gELkrBoFvNQKu,7e3LzHY9PLXTpUzvtk6PT4nKKZcBJB8gELkrBoFvNQKu,55,11,5.0,2098.77989159891,0.0325
hy7S4XwNX8i6Yw82Ct8nYdUV7HbPvuKAxdgjoBLxiBF,hy7S4XwNX8i6Yw82Ct8nYdUV7HbPvuKAxdgjoBLxiBF,55,11,5.0,987.9169987522022,0.028888888888888888
6gwu1WWU5AhEEPuQHaKusnonyooBsadXGRMgr2knrxhn,6gwu1WWU5AhEEPuQHaKusnonyooBsadXGRMgr2knrxhn,55,11,5.0,2097.8239507689377,0.0002777777777777778
D4EwnPB4tYV93Jo1uMQXiaPtjGa3ii97pYfaWY2XktAA,D4EwnPB4tYV93Jo1uMQXiaPtjGa3ii97pYfaWY2XktAA,45,10,4.5,596.503577669856,0.03972222222222222
2ZBPAgLJw7f37jt537gvYtRDGjrCswdA1gmqRuzMa6cL,2ZBPAgLJw7f37jt537gvYtRDGjrCswdA1gmqRuzMa6cL,45,10,4.5,1028.8117157086879,0.0033333333333333335
7G3WCkD7Mj4n5PJeDU8AchNR2g8EFzSemyYzKY1oAEKx,7G3WCkD7Mj4n5PJeDU8AchNR2g8EFzSemyYzKY1oAEKx,45,10,4.5,2382.0247593427885,0.07111111111111111
6ybaWnWYbvqJj4pXhvbsryvJTfuLhCBaNBDZnb998jxa,6ybaWnWYbvqJj4pXhvbsryvJTfuLhCBaNBDZnb998jxa,45,10,4.5,1787.4673046541461,0.018055555555555554
AHsgV3z9Dp3BgRn98Qz4NQSTd8yDMNSjgbC1DsUGetwF,AHsgV3z9Dp3BgRn98Qz4NQSTd8yDMNSjgbC1DsUGetwF,36,9,4.0,30275.59995528712,0.08972222222222222
