transaction_hash,start_wallet,end_wallet,start_entity_type,end_entity_type,timestamp,block_number,usd_value,token_symbol,hop_count,is_self_transfer
125C3zLLKGkkgyN6fbhn9GHpMGnEZHSH7GtSXPosGzQ8vGdZuW9HrNmtCvgJwwhhikwYDH3Y7M5vGGMCt1VftfiM,5AFi6p35Jhp7f6EVyB6fXJDjRhYU4FMYTJUMFpCPZvDc,5AFi6p35Jhp7f6EVyB6fXJDjRhYU4FMYTJUMFpCPZvDc,,,2025-11-22 13:37:26+00:00,381773780,1.0276533561599999,$WIF,2,True
141iqWozvXzujNECThCB5kxN2ucWfq7QR2sYmDnEd8r7fNbwgXGxxgVf4QCXmNqgDUF1Gt5PqJvsbJofvPWjYZL,53TpSf5mFyD5WU3i4bMK4jTQKdpSbyDXoBBWpt4oPg11,53TpSf5mFyD5WU3i4bMK4jTQKdpSbyDXoBBWpt4oPg11,,,2025-11-22 15:09:26+00:00,381787750,49.435209620316,$WIF,2,True
1A8Un1BK1HdWJfXpLz3sfEQ2aCboP3r981DdaSRtD7LskHyGqeaVJjcfME9aenck7rjrKKc2x78nk1FU5Jw5BC4,2ZBPAgLJw7f37jt537gvYtRDGjrCswdA1gmqRuzMa6cL,2ZBPAgLJw7f37jt537gvYtRDGjrCswdA1gmqRuzMa6cL,,,2025-11-22 15:01:54+00:00,381786616,31.776180543024,$WIF,2,True
1CkTrRFgANtE4rnxhHi4RJhrajmd6Fy6MGpx6m68ui2aHVnz6Zz2VNytBMq3pJWosqh1LpR3cRTYaA3uj5PLr93,D4EwnPB4tYV93Jo1uMQXiaPtjGa3ii97pYfaWY2XktAA,D4EwnPB4tYV93Jo1uMQXiaPtjGa3ii97pYfaWY2XktAA,dex-aggregator,dex-aggregator,2025-11-22 14:25:44+00:00,381781100,3.6226910272000006,$WIF,2,True
1ZJS47jtPeBqfmEmQu1idbhq1pqKMtoCLAJ2ky5V7fPaCqXo43KnYVc1KWpMNLzX2ZWNcF8WPUqMj6pkfAUj9m9,7e3LzHY9PLXTpUzvtk6PT4nKKZcBJB8gELkrBoFvNQKu,7e3LzHY9PLXTpUzvtk6PT4nKKZcBJB8gELkrBoFvNQKu,,,2025-11-22 12:54:07+00:00,381767207,61.7989668522,$WIF,2,True
1qXu2FivHJsmkZZHpQGm4EjbGMCrErFc4W35ZWnXXV45QfV2kduFmxWEiXhPV9GPEJyPwP4Er1JQz8HFtKxeees,2Ap3yC1D5vw7sgrhmUZ1W1Jd99PZNVA8Dbqmw4u593Mq,2Ap3yC1D5vw7sgrhmUZ1W1Jd99PZNVA8Dbqmw4u593Mq,,,2025-11-22 13:42:20+00:00,381774522,73.879409675968,$WIF,2,True
1zHFT6CzfnS1ByGfetq7FQVovmTFS8LV8thwBtSwXGxamTeJ44LTqVsQq4GQPZABN6MFyWaeTj8MWqPrJZ5gjzR,2VoBhsq5v5xQFyYgZ922n8ihhX2tJhcmTUCW22qA2KBc,2VoBhsq5v5xQFyYgZ922n8ihhX2tJhcmTUCW22qA2KBc,,,2025-11-22 14:15:52+00:00,381779609,0.077455633576,$WIF,2,True
216t27KYSYv53BQVEcy8DjF32qhpqcvfZZagW7WtNS6w8Mvh2iZCBkE2LAJ2R4wak1z3uY4nH9zpdfiDCcYAjHA3,DdYuxrfH7ryy75aVnbweYqZNfWH5cFxWMHYnddfqUgXH,DdYuxrfH7ryy75aVnbweYqZNfWH5cFxWMHYnddfqUgXH,,,2025-11-22 14:56:59+00:00,381785869,62.60462025461099,$WIF,3,True
21Am1PhHgzskbZ9qaKddXuTSJBDWj5YRjj295WYrV23RSe11WuD6Z9oqsHaGx1U3vGeMBPmQJLHXFQjjXM6WDzrQ,E4xNvD1JsnRS3HeakzHsPBcwSD9kArpc1n7CiNQP3sxd,E4xNvD1JsnRS3HeakzHsPBcwSD9kArpc1n7CiNQP3sxd,,,2025-11-22 13:14:26+00:00,381770293,16.50792576,$WIF,3,True
21HEBxgPBYmFHZWfGuhhxvymTF1GjhCtFwQXnJ6EuN48ws7dmJdXDYtnbxFo48jJ6GdGo7oVWZEuDX6n6AW4v2jB,6k4sfN9qaACoPxMH7rbLBdE8duoZdtprUwygkqpHXdsj,6k4sfN9qaACoPxMH7rbLBdE8duoZdtprUwygkqpHXdsj,,,2025-11-22 15:36:30+00:00,381791846,50.65525556448001,$WIF,2,True
21dHiMfsJMNhqtAnjPbERYuJn8fQHYWzVzRW5jTP2oeGM4FwWAqjxzEMxCzYy3XxgbC6zb9xqpDHrC8tuNi9Qnb8,ADiU9Ew1MVALsCH27nDSUi7co448wxLH72Po7xHULbMo,ADiU9Ew1MVALsCH27nDSUi7co448wxLH72Po7xHULbMo,,,2025-11-22 12:44:35+00:00,381765756,21.573741379404,$WIF,2,True
22NWxtsxWCNqumL5a4QKqF84i7i9tMNyMzi8TvdnwWSYwTraujEDXPkx64ferZbq6vEzGWpkfVHk2TR5MM7CR1kZ,5DDZt6dvXFPhnNScULoFAeK1GVfkMn4H8fC6EYDFhELg,5DDZt6dvXFPhnNScULoFAeK1GVfkMn4H8fC6EYDFhELg,,,2025-11-22 14:15:57+00:00,381779622,7.432396344348,$WIF,2,True
22PtCBFkUq5CRNjHwFgF4z6z5sZxsxVRd8VB2qNep34xFDW9GESnxoQb4U1zmetHuSuPLLLPDvYgmGXiZrv6W9WT,2B6ZieFdUQBH6CBZyC7r9hZN6w2iz8QTR8rNZHsaKGeC,2B6ZieFdUQBH6CBZyC7r9hZN6w2iz8QTR8rNZHsaKGeC,,,2025-11-22 16:57:55+00:00,381804174,38.282005133192,$WIF,2,True
22guhA2Q9foRrS8mDFy1FQabNDirvTzXDfCCjAhFzXpKyeArGLSK6gPjCR9VjKE6U171Y1S7HnzektvXXnbxqVp9,3hskKU8dQeLzAudaaheP3WiJsZZf2G6E2AAWyTgjurKw,3hskKU8dQeLzAudaaheP3WiJsZZf2G6E2AAWyTgjurKw,,,2025-11-22 16:15:38+00:00,381797782,8.611289035776,$WIF,2,True
22vHPnzjA6YCCTWsCjiLNqbGRX4n496uL9ELKRZ6w7YT6jJWEj1WzxPbC8UjQ4QeeDc7ZYfa7TTbftjAyUXvyS9W,Bpn9UfdFsME4bBnfUFRqriT6ALwoy487Ac4VQ8L1CPP6,Bpn9UfdFsME4bBnfUFRqriT6ALwoy487Ac4VQ8L1CPP6,,,2025-11-22 15:25:13+00:00,381790148,6134.44717928,$WIF,2,True
23Dhgpn12HbvQYRWW3P8magHGqBmqEZ3ZLptAePe35y9ygC86p8ERztcVp76PVR38b2Nx1zTaQZkYiAYNpFv6g38,5CP8qhVpVwbEeWhhPAX6oLTmykALZRR61yoPCsU3BLZQ,5CP8qhVpVwbEeWhhPAX6oLTmykALZRR61yoPCsU3BLZQ,,,2025-11-22 14:15:52+00:00,381779610,2.277650702972,$WIF,2,True
23M1cBYRVEc9RPNx1cGzgPRQDAqTNjR58EvA6w8zZSaEEYVYxT2JFr1WvP81P81w4hpmn2ffaSZyBE8yzfByPX84,E4xNvD1JsnRS3HeakzHsPBcwSD9kArpc1n7CiNQP3sxd,E4xNvD1JsnRS3HeakzHsPBcwSD9kArpc1n7CiNQP3sxd,,,2025-11-22 16:48:55+00:00,381802813,52.89994168,$WIF,4,True
23RFLQjEmPU8ZmwBMazMmYggjxADNJdQeS76nUBg7AFSSPhFdfati2s9mpKjPUMWrgQ3ueKtAmV8hDQyp7ixdmAe,BxbuS91tioycP35MbLnAdzqdQc6pvedcp9YN4ygfG2b7,BxbuS91tioycP35MbLnAdzqdQc6pvedcp9YN4ygfG2b7,,,2025-11-22 14:57:00+00:00,381785872,9.052927166104,$WIF,2,True
23ZyGKFesFQZdndXZU7yAEQEqVh9UPpf8V4KxH17wf3HBCJV9WaxFN8fakDTAfaDP6t6rbgYVHJyWktxkcq9wKs4,Gkg3L8K8nYCfcpnoTxya5MgQgLEJvSQtuzEiTpPd1dj7,Gkg3L8K8nYCfcpnoTxya5MgQgLEJvSQtuzEiTpPd1dj7,,,2025-11-22 15:08:17+00:00,381787580,86.21125852302,$WIF,2,True
