rank,wallet,total_volume_usd,volume_percentage,transaction_count,cumulative_percentage
1,4pdrrxYSjVnivw8XgCDBB8Pz5bMgyVy1M8JKkM5Hzvkr,136924.4763604703,17.153199630376786,43,17.153199630376786
2,BmuZwqRsvCtgYKThaoHjTgnD36NogzRhFPUM1zdWwuNK,90993.96794026182,11.399259933120517,9,28.5524595634973
3,JBqrMaTR1VGiT9KDN4oEPyXhZhNetfMm2nRQMRdvEfT,81708.7951729458,10.236060873947114,1,38.78852043744442
4,Bpn9UfdFsME4bBnfUFRqriT6ALwoy487Ac4VQ8L1CPP6,51646.86980714171,6.470056279446474,59,45.25857671689089
5,6x7zhBT3XTevfnFnDfe8K2dWvqJBnS9QPNqwU3XHrxAa,30255.308335962003,3.790230626108758,1,49.04880734299965
6,GiFS5USpZCDY54d9yETXaRVPPoaSaXVU4yE7tQ5AyGjP,30255.308335962003,3.790230626108758,1,52.83903796910841
7,FvTMGcyjwCeVeVFw1KiVQjKcH1qZejF3ojXoPX1XWTQG,26784.07301701104,3.3553719801408386,5,56.19440994924925
8,C2L6DdAtVQNcDw3KKGoyWTV3AfuYdUfPKZn21EEhKMkm,19473.151067728224,2.4394969882365,21,58.63390693748575
9,Fdo47EPoxbFY8xCRVU7VTKWCdhTsXGt91qtKSVX7y1SR,18675.808523247164,2.339609983350172,23,60.97351692083592
10,HJmtgWoT52w16iMX6ErX6hoxxntUecovwBXUALgGXgR,17528.32516813786,2.195859124585472,8,63.169376045421394
11,4krkDHkL23EQAPvRsy8xvQam8PYKB58DpRVktLdXXJhC,16697.907744044718,2.0918286675727096,1,65.2612047129941
12,GtEFMvEqt8FNQripzud27ZavHk9gtoG4tFFcSrzdZsYV,15781.544240572437,1.9770313243448234,26,67.23823603733892
13,54znvynKVPKcrpiDKgMv6ygfJLFHwuKNTCtzLmVCgVfZ,15029.3735666658,1.8828032208779957,4,69.12103925821691
14,CJomhM19MiDnyZjQuDEX19NT9a4zkrNLG9wtP9i9Puux,14163.0647166658,1.7742764691926982,3,70.89531572740961
15,AHsgV3z9Dp3BgRn98Qz4NQSTd8yDMNSjgbC1DsUGetwF,12075.465023989465,1.5127526333628003,9,72.4080683607724
16,2o5oUFFLya8DPc6jqb6tz3zTt7jRFg2bK4Vj45g9UWQB,10645.56089577415,1.3336215414241628,2,73.74168990219657
17,3DwrRZxMMLZ4KdPzvZ8v4pYNo5F1sSiRJUaKPSAcFYtA,9659.290513233456,1.2100666211430677,2,74.95175652333964
18,2yJTepLjtEhT1BJRRY3hHViBAPGrXnSNjDGMQmJFrgtP,8750.77394839653,1.0962523023420576,15,76.04800882568169
19,3jYHKknDedZUWUdmNowv9z7yMXtdv8FSoCz26qRjSrJ9,8392.950741776263,1.0514260370994544,9,77.09943486278115
20,8ffo8B8ohxShNXYwEffoaH7h8jTj7AoYw4q323aASkVX,8346.686035979501,1.0456302308603762,1,78.14506509364153
